start,end,shape.index
107948,107949,2.0
112905,112906,2.0
134238,134239,2.0
200777,200778,2.0
203790,203791,2.0
297909,297910,2.0
540386,540387,2.0
560467,560468,2.0
572665,572666,2.0
811444,811445,2.0
816008,816009,2.0
819961,819962,2.0
853231,853232,2.0
1143330,1143331,2.0
1146050,1146051,2.0
1147848,1147849,2.0
1184061,1184062,2.0
1697416,1697417,2.0
1700569,1700570,2.0
1701909,1701910,2.0
1705528,1705529,2.0
1848207,1848208,2.0
1974107,1974108,2.0
1982214,1982215,2.0
2135492,2135493,2.0
2154246,2154247,2.0
2577933,2577934,2.0
2745968,2745969,2.0
2753236,2753237,2.0
2757267,2757268,2.0
2757635,2757636,2.0
2770137,2770138,2.0
2770164,2770165,2.0
2770188,2770189,2.0
2879162,2879163,2.0
2988111,2988112,2.0
2996310,2996311,2.0
3025128,3025129,2.0
3030492,3030493,2.0
3030536,3030537,2.0
3160006,3160007,2.0
3161438,3161439,2.0
3453643,3453644,2.0
3478429,3478430,2.0
3725462,3725463,2.0
3784079,3784080,2.0
4114324,4114325,2.0
4114994,4114995,2.0
4115453,4115454,2.0
4903800,4903801,2.0
5011116,5011117,2.0
5034480,5034481,2.0
5034686,5034687,2.0
5036710,5036711,2.0
5043266,5043267,2.0
5052858,5052859,2.0
5163122,5163123,2.0
5201724,5201725,2.0
5309094,5309095,2.0
5327857,5327858,2.0
5415819,5415820,2.0
5526945,5526946,2.0
5544031,5544032,2.0
5546036,5546037,2.0
5546069,5546070,2.0
5552005,5552006,2.0
5984206,5984207,2.0
6051922,6051923,2.0
6052268,6052269,2.0
6052408,6052409,2.0
6053788,6053789,2.0
6123605,6123606,2.0
6342277,6342278,2.0
6346090,6346091,2.0
6559034,6559035,2.0
6562333,6562334,2.0
6654519,6654520,2.0
6926778,6926779,2.0
6926903,6926904,2.0
6927564,6927565,2.0
6927691,6927692,2.0
6930992,6930993,2.0
6931097,6931098,2.0
6957034,6957035,2.0
7404307,7404308,2.0
7405256,7405257,2.0
7408363,7408364,2.0
7816428,7816429,2.0
7818550,7818551,2.0
7827805,7827806,2.0
7832640,7832641,2.0
8037124,8037125,2.0
8037195,8037196,2.0
8083481,8083482,2.0
